,address,lat,lon
0,45 PLATEAU ST BRYSON CITY NC,35.434481,-83.4440541
1,1250 S 18TH ST FERNANDINA BEACH FL,30.6531443,-81.4485844
2,2050 VERSAILLES ROAD LEXINGTON KY,38.0465364,-84.54171269999999
3,3260 HOSPITAL DR JUNEAU AK,58.32901640000001,-134.4649168
4,EISENHOWER-FM 2185 VAN HORN TX,31.0496717,-104.8283235
5,11101 W LINCOLN AVE WEST ALLIS WI,43.0004788,-88.051762
6,23500 US HWY 160 WALSENBURG CO,37.6227357,-104.780403
7,2051 HAMILL ROAD HIXSON TN,35.1252406,-85.2377176
8,1101 VETERANS DRIVE LEXINGTON KY,38.0296182,-84.5066113
9,870 WEST MAIN STREET GENEVA OH,41.7993301,-80.9615263
10,CORNER OF LAMONT STREET AND VETERANS WAY MOUNTAIN HOME TN,36.3111797,-82.3730823
11,800 11TH STREET CHARLES CITY IA,43.0513178,-92.68371080000001
12,272 HOSPITAL ROAD CHILLICOTHE OH,39.3962346,-82.9683385
13,315 DEER'S HEAD HOSPITAL ROAD SALISBURY MD,38.3822841,-75.5957858
14,951 E MARKET STREET CADIZ OH,40.2575993,-80.97784109999999
15,HWY 86 AND TOPAWA RD SELLS AZ,31.9120215,-111.881234
16,1100 E LOOP 304 CROCKETT TX,31.3238094,-95.4388819
17,107 6TH AVE SW RONAN MT,47.5286616,-114.1069355
18,500 EAST VETERANS STREET TOMAH WI,44.0036157,-90.4934495
19,14502 WEST MEEKER BOULEVARD SUN CITY WEST AZ,33.6597213,-112.3733934
20,10500 MONTGOMERY RD FIRST FLOOR CINCINNATI OH,39.2519819,-84.3418981
21,6025 METROPOLITAN DR BEAUMONT TX,30.1121853,-94.16985749999999
22,95 S PAGOSA BLVD PAGOSA SPRINGS CO,37.2521575,-107.0783976
23,1847 FLORIDA AVE PANAMA CITY FL,30.1819692,-85.6694535
24,1610 8TH AVENUE EAST ALEXANDRIA MN,45.8833201,-95.3611991
25,88 WASHINGTON STREET TAUNTON MA,41.9051446,-71.0952279
26,525 E MARKET STREET AKRON OH,41.0800054,-81.5005656
27,1978 INDUSTRIAL BOULEVARD HOUMA LA,29.569299,-90.6885363
28,11375 CORTEZ BLVD BROOKSVILLE FL,28.5369651,-82.53417999999999
29,4750 PRESIDENT GEORGE BUSH HIGHWAY SACHSE TX,32.951961,-96.5807786
30,2500 EAST VAN BUREN STREET PHOENIX AZ,33.4519698,-112.0244452
31,751 NE BLAKELY DR ISSAQUAH WA,47.5358556,-122.0214933
32,1901 SOUTH SHADY STREET MOUNTAIN CITY TN,36.4535832,-81.79758269999999
33,105 REDBUD DRIVE PORTLAND TN,36.5573262,-86.511676
34,9080 COLIMA RD WHITTIER CA,33.9498216,-118.0033296
