,address,coordinates
0,"8811 Village Dr, San Antonio, TX 78217, USA","29.519597,-98.42905798"
1,"4700 S I-10 Service Rd W, Metairie, LA 70001, USA","29.99701478,-90.18655713"
2,"7601 Fannin St, Houston, TX 77054, USA","29.69058843,-95.40108121"
3,"3801 S National Ave, Springfield, MO 65807, USA","37.14494625,-93.27967732"
4,"401 9th Ave NW, Watertown, SD 57201, USA","44.91097461,-97.12123734"
5,"2010 Church St, Nashville, TN 37203, USA","36.15353896,-86.80216242"
6,"6045 Stars Ave, McKinney, TX 75070, USA","33.14261683,-96.70720525"
7,"2200 H St, Fairbury, NE 68352, USA","40.15554652,-97.17500391"
8,"4777 Outer Dr E, Detroit, MI 48234, USA","42.44224446,-83.01977521"
9,"1 Oak Cir, Whitfield, MS 39193, USA","32.2413923,-90.06975006"
10,"1212 Business Center Dr, Pearland, TX 77584, USA","29.57290582,-95.38983333"
11,"1753 S 68th St, West Allis, WI 53214, USA","43.01105323,-87.99720678"
12,"888 Pine St, Macon, GA 31201, USA","32.83472905,-83.63666986"
13,"202 High St, Tecumseh, NE 68450, USA","40.37967562,-96.19702289"
14,"727 SE Main St, Simpsonville, SC 29681, USA","34.72018561,-82.2482302"
15,"320 N Main St, Lockney, TX 79241, USA","34.12707748,-101.4412453"
16,"800 Irving Ave, Syracuse, NY 13210, USA","43.0388312,-76.13895418"
17,"25440 Interstate 45 N, Spring, TX 77386, USA","30.13090069,-95.44302258"
18,"7309 S 180 W, Midvale, UT 84047, USA","40.61774314,-111.8967095"
19,"502 S Oak St, Genoa, NE 68640, USA","41.44392146,-97.73258369"
20,"8105 Veterans Wy, Montgomery, AL 36117, USA","32.35785054,-86.1286248"
21,"820 N Chelan Ave, Wenatchee, WA 98801, USA","47.43352928,-120.3230866"
22,"8M3X+73M, Culebra, 00775, Puerto Rico","18.30325462,-65.30236436"
23,"78 Hospital Dr, Macon, MS 39341, USA","33.1222328,-88.55860538"
24,"800 W 5th Ave, Spokane, WA 99204, USA","47.65180024,-117.4234361"
25,"12950 East Fwy, Houston, TX 77015, USA","29.77063353,-95.20029102"
26,"135 E Swan St, Centerville, TN 37033, USA","35.7794869,-87.45896011"
27,"807 N Main St, Travelers Rest, SC 29690, USA","34.97546934,-82.45596102"
28,"611 Sherman Ave E, Fort Atkinson, WI 53538, USA","42.93110393,-88.82797681"
29,"719 W Coke Rd Medical Office Bldg. 1, Ste. 3, Winnsboro, TX 75494, USA","32.94453832,-95.30727963"
30,"150 Medical Center Dr, West Point, MS 39773, USA","33.61939639,-88.66237784"
31,"901 Adams Blvd, Boulder City, NV 89005, USA","35.96705262,-114.8426307"
32,"900 E Cheves St, Florence, SC 29506, USA","34.19538811,-79.75497558"
33,"601 Grove Ave, Wild Rose, WI 54984, USA","44.18356053,-89.2460595"
34,"2817 St Johns Blvd, Joplin, MO 64804, USA","37.05762779,-94.52698351"
35,"3533 S Alameda St, Corpus Christi, TX 78411, USA","27.74851042,-97.38628484"
36,"5CJP+96 Lakewood, WA, USA","47.18095643,-122.564431"
37,"5501 N McColl Rd, McAllen, TX 78504, USA","26.25271244,-98.20495353"
38,"162 W Main St, Centreville, MS 39631, USA","31.09032033,-91.06758723"
39,"WWX2+XV Owyhee, NV, USA","41.94989163,-116.097797"
40,"128 FM 3167, Rio Grande City, TX 78582, USA","26.37643211,-98.85835917"
41,"1333 Taylor St Suite 6-F, Columbia, SC 29201, USA","34.00765482,-81.03353124"
42,"704 Hospital Dr, Carrizo Springs, TX 78834, USA","28.51923471,-99.86339756"
43,"1970 Hospital Dr, Clarksdale, MS 38614, USA","34.19596032,-90.55221628"
44,"600 W Pine St, Poplar Bluff, MO 63901, USA","36.75797279,-90.39731996"
45,"5201 Harry Hines Blvd, Dallas, TX 75235, USA","32.81065535,-96.83809091"
46,"205 Parker St, Boscobel, WI 53805, USA","43.13318413,-90.70863516"
47,"2725 Enterprise Dr, Anderson, IN 46013, USA","40.03784389,-85.7250539"
48,"2305 Georgia St, Louisiana, MO 63353, USA","39.44066438,-91.06478066"
49,"401 W Poplar St, Walla Walla, WA 99362, USA","46.06222765,-118.343197"
50,"330 Service Rd, Austin, TX 78704, USA","30.22571366,-97.76632301"
51,"2321 Stout Rd, Menomonie, WI 54751, USA","44.88298524,-91.90156741"
